,author,published_at,updated_at,like_count,text,sentimiento
1683,@thomasmcdonald4836,2024-05-15T12:59:47Z,2024-05-15T12:59:47Z,4,They both should be drug tested as they enter the stage on live tv,0.0
1684,@staff8518,2024-05-15T12:59:19Z,2024-05-15T13:02:19Z,4,This is elder abuse. I would never let a 80 year old family member embarrass himself on the world stage. Joe thinks he&#39;s winning in the polls. He&#39;s not only NOTa winning he&#39;s getting destroyed. He&#39;s out o touch with reality and those around him sit back and let it happen. .,-0.4215
1685,@bryanpotter3882,2024-05-15T12:59:15Z,2024-05-15T12:59:15Z,1,Hey Donald Trump make Joe Biden day  punk,0.0
1686,@brigidmartin,2024-05-15T12:58:15Z,2024-05-15T12:58:15Z,4,Loser,-0.5267
1687,@dannychambers8076,2024-05-15T12:58:06Z,2024-05-15T12:58:06Z,1,SURE CHECK AND MAKE SURE HE DOESN&#39;T HAVE A EAR PIECE !,0.5983
1688,@GenghisKhan-gs9np,2024-05-15T12:57:57Z,2024-05-15T12:57:57Z,5,all right ok,0.296
1689,@Kevin-lf4xx,2024-05-15T12:57:20Z,2024-05-15T12:57:20Z,11,What a clown.,0.0
1690,@tonywillingham8109,2024-05-15T12:57:05Z,2024-05-15T12:57:05Z,0,Why are you refusing to debate the customary 3 times Biden?   Will the the drugs they pump into you only sustain 2 debates?,-0.4696
1691,@luckyeasyfree1,2024-05-15T12:56:46Z,2024-05-15T12:56:46Z,13,Let&#39;s go Brandon!,0.0
1692,@samjax238,2024-05-15T12:56:36Z,2024-05-15T12:56:36Z,14,Keeps looking worse,-0.4767
1693,@antonikalis1640,2024-05-15T12:56:14Z,2024-05-15T12:56:14Z,0,Nice.,0.4215
1694,@user-ju7de7zg3q,2024-05-15T12:56:03Z,2024-05-15T12:56:03Z,1,Biden is trash talking?  Nice......,0.0
1695,@DrSweetJp,2024-05-15T12:55:09Z,2024-05-15T12:55:09Z,8,Donald should ask for a drug test before debates because Biden was too Lucid during the State of the Union compared to 99% of his appearances. I wanna take what his staff is giving him!🌨,0.4003
1696,@GotoHere,2024-05-15T12:54:48Z,2024-05-15T12:54:48Z,11,Will Joe explain his showers with his 11 year old daughter at the debates? Asking for a friend with TDS.,0.4939
1697,@AbideVibe,2024-05-15T12:54:34Z,2024-05-15T12:54:34Z,6,Rolling!,0.0
1698,@luckyeasyfree1,2024-05-15T12:53:33Z,2024-05-15T12:53:33Z,18,A 13 second &quot;speech&quot; and you can tell he even needs a teleprompter for this - amazing.  Worst president in history.,0.1027
1699,@debrajames6286,2024-05-15T12:53:27Z,2024-05-15T12:53:27Z,1,"I love how our President Biden, always comes with the heat, such an awesome and all around decent President, 4 more years 2024.🇺🇲💙🦅🗽🗳️☑️📣🇺🇲",0.8519
1700,@GotoHere,2024-05-15T12:52:44Z,2024-05-15T12:52:44Z,15,"Is that without a teleprompter, earpiece and cheat note cards?",-0.4588
1701,@wojeff,2024-05-15T12:52:18Z,2024-05-15T12:52:18Z,2,"Can you plz tell him:<br>September 16 at Texas State University in San Marcos, Texas (presidential debate).<br><br>September 25 at Lafayette College in Easton, Pennsylvania (vice presidential debate).<br><br>October 1 at Virginia State University in Petersburg, Virginia (presidential debate).<br><br>October 9 at University of Utah in Salt Lake City, Utah (presidential debate).",0.0772
1702,@Royale_with_Cheeese,2024-05-15T12:52:16Z,2024-05-15T12:52:16Z,53,&quot;I hear you&#39;re free on Wednesdays.&quot; BOOM!,0.5562
1703,@lisascott7509,2024-05-15T12:51:25Z,2024-05-15T12:51:25Z,3,Trump will mop the floor with biden,0.0
1704,@Qbkgrfqq0,2024-05-15T12:51:12Z,2024-05-15T12:51:12Z,0,Joe Biden is the only hope to save our nation and our democracy,0.7269
1705,@HandyMan657,2024-05-15T12:50:31Z,2024-05-15T12:50:31Z,0,"Come on traitor don, make time in your busy criminal trials schedule.",-0.5267
1706,@markstevens1729,2024-05-15T12:50:31Z,2024-05-15T12:50:31Z,11,"Yeah, Wednesday’s… for now, anyway.",0.296
1707,@catherine7147,2024-05-15T12:50:23Z,2024-05-15T12:50:23Z,16,"Way to go, Joe!<br>Oh yeah on a debate! And when he starts in talking about Hannibal Lecter..bring up the Infrastructure bill or the prescription drug prices lowered , or the rebuilding of NATO alliances, or your commitment to climate change. He is toast and YOU did it in 2020. THANK YOU!",0.8131
1708,@adrianthoroughgood1191,2024-05-15T12:49:55Z,2024-05-15T12:49:55Z,105,"&quot;I hear you&#39;re free on Wednesdays&quot; Such a burn, with perfect delivery.",0.7906
1709,@mtheory85,2024-05-15T12:49:39Z,2024-05-15T12:49:39Z,49,"Diaper don will chicken out, I guarantee it.",0.25
1710,@craigherbert200,2024-05-15T12:49:09Z,2024-05-15T12:49:09Z,33,End of quote repeat the line pause,0.0
1711,@jonathantifone8001,2024-05-15T12:48:58Z,2024-05-15T12:48:58Z,16,Ridin&#39; with Biden!,0.0
1712,@sky173,2024-05-15T12:47:56Z,2024-05-15T12:50:11Z,0,Debate Trump you wussie. Trump 2024<br><br>👍610 / 👎74 - as of 8:47am EST - watch it change lol,0.4215
1713,@juvenjacobDC,2024-05-15T12:47:42Z,2024-05-15T12:47:42Z,14,I love it!,0.6696
1714,@craigherbert200,2024-05-15T12:47:35Z,2024-05-15T12:47:35Z,16,I&#39;m sure it took hours to make this,0.3182
1715,@MaxBorge,2024-05-15T12:47:27Z,2024-05-15T12:47:27Z,108,Haha.  Free on Wednesdays,0.743
1716,@Cross256,2024-05-15T12:47:22Z,2024-05-15T12:47:22Z,35,You got this Joe,0.0
1717,@dennisjansson6239,2024-05-15T12:46:11Z,2024-05-15T12:46:11Z,48,Let him know Joe Biden!,0.0
1718,@edwinpaz9880,2024-05-15T12:45:02Z,2024-05-15T12:45:02Z,30,"thats how you do it Joe  aint nobody sccurrredd of no magas , run it again !!",-0.4184
1719,@robertredfern5515,2024-05-15T12:44:30Z,2024-05-15T12:44:30Z,5,Biden doesn’t stand a chance,0.25
1720,@seymourbutts4654,2024-05-15T12:43:31Z,2024-05-15T12:43:31Z,1,Trump doesn&#39;t debate he whines and plays the victim.,-0.4404
1721,@lisarivas9817,2024-05-15T12:42:50Z,2024-05-15T12:42:50Z,44,Perfect tone ! Dish it out,0.6114
1722,@marclawson2536,2024-05-15T12:42:13Z,2024-05-15T12:42:13Z,1,"The DNC, the press and the RNC colluded twice to exclude the people&#39;s choice, Bernie Sanders, from the process. How&#39;s that workin&#39; out for you folks? LOLOLOLOL",-0.2263
1723,@nategiam,2024-05-15T12:42:02Z,2024-05-15T12:42:02Z,4,"Senile Genocide Joe, how many takes did you need to make this heavily edited, 14-second video?",0.0
1724,@damham5689,2024-05-15T12:41:07Z,2024-05-15T12:41:07Z,1,"Trump doesn&#39;t debate.  He whines, shouts, insults, pouts, tries to intemidate, but he couldn&#39;t do an actual intellectual debate if his life depended on it.",0.3919
1725,@Thready704,2024-05-15T12:40:36Z,2024-05-15T12:40:36Z,0,FJB and FDT!!!! BOTH ARE A SCOURGE TO THIS ONCE BEAUTIFUL NATION. Bring on a REAL presidential candidate that can mend the wound that splits the country in two.,0.7783
1726,@staffsargaent,2024-05-15T12:40:14Z,2024-05-15T12:40:14Z,19,So funny!!!,0.6211
1727,@ImAlecPonce,2024-05-15T12:39:49Z,2024-05-15T12:39:49Z,0,Trump is too weak to go to a debate. He lost his depates against Hillary. He lost them against Biden. Shoot he even lost his imaginary debates against Obama.,-0.8807
1728,@Rickimusic,2024-05-15T12:39:42Z,2024-05-15T12:39:42Z,67,"lol, free on Wednesdays...",0.7269
1729,@jamesratliff2621,2024-05-15T12:39:09Z,2024-05-15T12:39:09Z,4,No I watched both of your debates and in my opinion he mopped the floor with you which wasn&#39;t easy condensering the people giving the questions where obviously against him,0.4767
1730,@bretts7072,2024-05-15T12:38:59Z,2024-05-15T12:38:59Z,139,Awesome! Biden 2024!,0.6892
1731,@annecorreia3928,2024-05-15T12:38:52Z,2024-05-15T12:38:52Z,78,You go Joe😅,0.0
1732,@robertredfern5515,2024-05-15T12:38:44Z,2024-05-15T12:38:44Z,3,Desperate and brainwashed much,-0.3182
1733,@maggiemurdoch5698,2024-05-15T12:38:16Z,2024-05-15T12:38:16Z,23,I love it when Dark Brandon comes out!!!!,0.7482
1734,@bobgaysummerland,2024-05-15T12:38:10Z,2024-05-15T12:38:10Z,67,Joe I think the debate will have to be held at Leavenworth the way his trial is going.,0.0
1735,@discostu2246,2024-05-15T12:37:18Z,2024-05-15T12:37:18Z,1,This cabbage cannot even read a teleprompter.. he&#39;s too dumb and senile to debate Trump 😂,-0.5106
1736,@sitara68,2024-05-15T12:36:58Z,2024-05-15T12:36:58Z,4,"And you will defeat him again, Mr. President.",-0.4588
1737,@marilynh.,2024-05-15T12:36:54Z,2024-05-15T12:36:54Z,2,DT will  debate President Biden like he wants to get on the witness stand - NEVER.<br> 🔵 🔵 🔵,0.3612
1738,@BelleDelphin,2024-05-15T12:36:21Z,2024-05-15T12:36:21Z,1,The orange criminal is a coward 🤣,-0.7506
1739,@silentwhisper8633,2024-05-15T12:36:06Z,2024-05-15T12:36:06Z,6,He&#39;s free on Wednesday&#39;s lololololololololololololololo,0.5106
1740,@fakenimd,2024-05-15T12:35:44Z,2024-05-15T12:35:44Z,4,💙,0.0
1741,@brdrrgr,2024-05-15T12:35:21Z,2024-05-15T12:35:21Z,2,Russia votes for Biden!🇷🇺,0.0
1742,@flashgordon6752,2024-05-15T12:35:20Z,2024-05-15T12:35:20Z,3,FJB,0.0
1743,@democracylives8448,2024-05-15T12:35:19Z,2024-05-15T12:35:19Z,0,"A great ad would be a montage of all the times Herr Drumpf threatened US citizens, including when he solicited assault of a dissenter at a rally (a crime in itself). That’s how he treats your fellow Americans, who happen to disagree with him. This country is founded upon dissent, competition, and discourse.",-0.8316
1744,@brantpence7622,2024-05-15T12:35:16Z,2024-05-15T12:35:16Z,10,He can&#39;t even speak🤣,0.0
1745,@trailmix311,2024-05-15T12:35:02Z,2024-05-15T12:35:02Z,0,"Yikes. I don&#39;t know how much you gain from debating a compulsive liar and fascist. Nothing like chasing blatant lies the whole time. If voters need a debate to decide, we&#39;re already in trouble.",-0.8782
