author,published_at,updated_at,like_count,text
@sueguerrero5913,2024-03-26T11:15:22Z,2024-03-26T11:15:22Z,0,Miami county jail …
@DEMOCRACY-pd5nk,2024-03-25T14:34:09Z,2024-03-25T14:34:09Z,0,I just had my morning coffee so I’m gonna go take a nice healthy Trump!!!
@zippidido,2024-03-24T23:28:28Z,2024-03-24T23:28:28Z,2,Bone spurs bothering him
@gary40rochy,2024-03-24T23:05:00Z,2024-03-24T23:05:00Z,0,Eddie abbow for president  2028 .
@drvpgvng,2024-03-22T20:46:31Z,2024-03-22T20:46:31Z,1,Wow eric knows where he is going unlike the entire Biden family that needs a chauffeur and walking handler like some fkn mutt of a dog
@getyamindright210,2024-03-21T23:29:06Z,2024-03-21T23:29:06Z,1,Worst president in u.s history
@kimm.1709,2024-03-21T23:22:48Z,2024-03-21T23:22:48Z,50,"He&#39;s fighting all this... for US!<br>Thank you, President Trump!!!❤"
@walter6873,2024-03-20T03:18:46Z,2024-03-20T03:18:46Z,1,Trump for federal prison
@joepick92,2024-03-19T20:00:28Z,2024-03-19T20:00:28Z,0,What a gangster. This man has zero quit. Only a fucking loser would vote against this man and choose Joe fucking Biden
@BillieDeffenbaugh-os8oo,2024-03-18T08:50:45Z,2024-03-18T08:50:45Z,2,Lock him up!
@sfl6307,2024-03-17T13:19:01Z,2024-03-17T13:19:01Z,1,🤡🤡🤡🤡🤡😜😜😜🤮
@adwaitnaravane5285,2024-03-15T18:43:33Z,2024-03-15T18:43:33Z,1,Pay your bills
@hooman2824,2024-03-14T20:30:40Z,2024-03-14T20:30:40Z,0,Eric&#39;s walk like he&#39;s so damn luxurious and expensive. The sophistication of classiness imbedded in him even if just wearing plain white polo shirt. Perfect example of a Distinguished Gentleman fr💯🔥
@FullersDuck,2024-03-14T13:58:50Z,2024-03-14T13:58:50Z,4,300lbs of pâté smeared into a five acre suit. He&#39;s just a bad joke. I&#39;m looking forward to jury selection on the 25th March.
@oscarsilva4120,2024-03-12T23:25:44Z,2024-03-12T23:25:44Z,0,Greet greet all u want ...  Self imposed importance
@JamesJohnson-fs5cf,2024-03-12T20:20:08Z,2024-03-12T20:20:08Z,1,Hey why is he at my home!!! I just bought the place n now im tuning it into a community center w a swimming pool for all the people to come  and stay!!!
@captain2ahab,2024-03-12T10:26:21Z,2024-03-12T10:26:21Z,1,"Boy, is he fat!"
@drylbaker,2024-03-11T17:24:36Z,2024-03-11T17:24:36Z,0,Eric&#39;s big as fuck. Lol
@roccoduffy7024,2024-03-11T10:30:02Z,2024-03-11T10:30:02Z,0,Fjb
@katherinewillfong9585,2024-03-11T03:01:17Z,2024-03-11T03:01:17Z,1,Griftets...
@smiles-are-needed413,2024-03-09T16:17:50Z,2024-03-09T16:17:50Z,1,Chump boy!  Slammer time!!!
@stephanc197,2024-03-09T00:09:22Z,2024-03-09T00:09:22Z,0,TRUMP LORD 2024 🇺🇸🙌🇺🇸🙌
@bigdaddy7286,2024-03-07T19:04:38Z,2024-03-07T19:04:38Z,0,"Derpy derp Yerp… tRump fur prESidAnt!!! 20,024!!!! Weeeeee 🤪"
@PaireyHussy,2024-03-06T09:00:38Z,2024-03-06T09:00:38Z,0,My man’s mobbed up 💯💯💯
@LuluIvy11,2024-03-06T01:23:42Z,2024-03-06T01:23:42Z,2,TOO BIG TO RIG!! MAGA PROUD!!!!
@vickilockeby3172,2024-03-02T15:59:31Z,2024-03-02T15:59:31Z,0,❤❤❤❤❤❤❤❤❤! Look at him compared to Biden! Such strength
@davidscarupa1429,2024-03-02T01:30:39Z,2024-03-02T01:30:39Z,1,Lock him up ! Russian hack !
