author,published_at,updated_at,like_count,text
@mr.3231,2024-05-27T17:27:05Z,2024-05-27T17:27:05Z,0,Now you all for trump you turned on him not long time ago what a hypocritical media even Israel for him now after they betrayed him with Biden backing Biden in the last election even though he did to Israel what no other president did recognise Jerusalem their capital transferred the American embassy to Jerusalem in top of that when he criticised them they called him antisemitic you are with the winner or you think gonna be the winner if Biden can beat him in the next election you will go with Biden simply with your interests and goals and agenda who ever serve your interests even if its the devil 😈 himself
@ronwatson4135,2024-05-27T17:26:15Z,2024-05-27T17:27:37Z,0,"What a Bunch of Fools to keep supporting Joe Biden, who looks and acts like Central Casting from the show, &quot; The Walking Dead &quot;."
@ScottGravlee,2024-05-27T17:24:19Z,2024-05-27T17:24:19Z,1,Did she not see him getting booed at the libertarian event?
@terrykline1358,2024-05-27T17:23:13Z,2024-05-27T17:23:13Z,0,"What a True Class Act, Greatest President in My 60 years on this Earth. God Bless President Trump and God Bless The USA. God Bless Our Veterans and may they have Wonderful Weekend and May our Veterans Loss and their families be Blessed by God and may they find Peace and Joy 🙏🙏🙏🙏"
@joseurbano9732,2024-05-27T17:22:13Z,2024-05-27T17:22:13Z,0,Lies 😂😂😂 it was for the band playing.
@stephenholmes5362,2024-05-27T17:20:07Z,2024-05-27T17:20:07Z,1,"Such wonderful reporting by FoxNews, what a joke, just like Trump!!!"
@cttile,2024-05-27T17:18:37Z,2024-05-27T17:18:37Z,1,He doesn’t deserve any respect. Never trust a man that doesn’t respect your vote.
@philmccrevis5364,2024-05-27T17:18:00Z,2024-05-27T17:18:00Z,1,They made sure to stand the only black person in the picture right next to Donald lol.
@percivalgooglyeyes6178,2024-05-27T17:15:57Z,2024-05-27T17:15:57Z,0,Joe Biden refers to our fallen veterans as &quot;Suckers and Losers&quot;. How that embecil can ever hold the office is a tragedy.
@CoolGuySayingCoolThings,2024-05-27T17:15:02Z,2024-05-27T17:15:02Z,0,They were cheering for the race. We&#39;ll be cheering louder once hes sentenced to prison
@illmatic3267,2024-05-27T17:14:41Z,2024-05-27T17:14:41Z,0,women ☕
@williamdaniels4013,2024-05-27T17:11:59Z,2024-05-27T17:11:59Z,0,YOUR BIG STORY IS TRUMP STATE SIDE AT THE INDY 500. MORONS.😅🤣😂
@rickatick6737,2024-05-27T17:10:18Z,2024-05-27T17:10:18Z,0,"Let’s have you report from about 20ft from the track, can’t be that loud right???"
@natesbored,2024-05-27T17:08:58Z,2024-05-27T17:08:58Z,0,Fox News- setting their viewers up for disappointment when the election is over.
@sandiegotrafficlightstrain354,2024-05-27T17:05:25Z,2024-05-27T17:05:25Z,0,"Oh stop it, everyone was ignoring Trump, no one was even waving at him, and he was waving at fans cheering for the drivers."
@albertmoore4445,2024-05-27T17:04:52Z,2024-05-27T17:04:52Z,0,"The  video is totally phony, pasted together by his campaign from poses for nobody and crowd shots. Sick!!"
@Steve-pk9ok,2024-05-27T17:02:13Z,2024-05-27T17:02:13Z,0,"I do my very best to try and understand Brandon voters, but I just don&#39;t get it."
@cariboujadewildernesslife9210,2024-05-27T17:01:19Z,2024-05-27T17:01:19Z,0,Trump should take over Joes campaign phrase and say Joe lied and didn&#39;t... couldn&#39;t... Build back better so I guess we will have to show him how... We&#39;ll Build Back Better and Make America Great Again
@dianak3,2024-05-27T17:00:43Z,2024-05-27T17:00:43Z,0,"Wow, what a mistake to put a reporter reporting next to high-speed cars going around the track. I can&#39;t give Fox News a like for such a failed newscast.🤥"
@BonafideGail,2024-05-27T17:00:39Z,2024-05-27T17:00:39Z,0,It wasn&#39;t for him. Ha ha ha
@nicebutnotinasandbox668,2024-05-27T17:00:04Z,2024-05-27T17:00:04Z,0,No one believes what that billboard said was true...Come on man!
@Spilllage,2024-05-27T16:59:05Z,2024-05-27T16:59:05Z,0,I can’t hear anything I am done with Fox News
@cruelcarp5516,2024-05-27T16:56:13Z,2024-05-27T16:56:13Z,1,They hated trump at the libritarian convention. Did you watch the speech?  I did.
@corinacarrera7301,2024-05-27T16:54:56Z,2024-05-27T16:54:56Z,0,Lmao fox is stupid
@cruelcarp5516,2024-05-27T16:54:16Z,2024-05-27T16:54:16Z,1,Trump faked his reception again. No one at the even knew trump was there.  He&#39;s a liar. Everything he does is a scam.
@randylotito8045,2024-05-27T16:51:05Z,2024-05-27T16:51:05Z,0,L.G.B.T.Q. GAYS 🏳️‍🌈🏳️‍🌈🏳️‍🌈 🏳️‍⚧️🏳️‍⚧️🏳️‍⚧️ FOR JOE BIDEN &amp; KAMALA HARRIS 🇺🇸🇺🇲🇺🇸 # 2025 💙💙💙.
@tbrady333,2024-05-27T16:50:04Z,2024-05-27T16:50:04Z,0,Why trump so patriotic but he running on pardoning an commuting sentencing of criminals
@laurence1643,2024-05-27T16:45:36Z,2024-05-27T16:45:36Z,0,Hello Princess LEAH .
@darrellkaczynski7531,2024-05-27T16:45:09Z,2024-05-27T16:45:09Z,0,"Booed of the stage. <br>Dilusional welcomed NASCAR f<br>No one around him, no one cares."
@mitchelltriplett7974,2024-05-27T16:44:27Z,2024-05-27T16:44:27Z,0,Draft dodger salutes to amazing grace... was he bone spirs or flat feet? I get him and Biden mixed up a lot.
@ImWilson1,2024-05-27T16:43:17Z,2024-05-27T16:44:36Z,0,Biden is at the beach again. I love the lies Biden gave the commencement speech at  West Point where he shook every hand. Meanwhile Trump spends his weekend on Truth Social ranting about how bad he is treated after he commits crimes.
@brittanyrenee8478,2024-05-27T16:42:03Z,2024-05-27T16:42:03Z,0,"Repent the day of the Lord is at hand! Escape the wrath that is to come!!<br>Did you know the bible says most people are going to Hell? There is a narrow road to get to Heaven and very few find it? Why is this? Because we are dead in trespasses and unable to have full revelation of the bible and God’s will for our lives. We need the merciful gift from God of regeneration. This is where God brings us to life and leads us to repentance and the turning away from a life of sin and leads us to accept him as our Lord and Savior. We become servants of Christ rather than slaves of sin. The bible says unless a man be born again he will not enter the Kingdom of Heaven. The bible says we must examine ourselves to be sure we are in the faith! Is your eternity assured? Have you been reborn from above? I pray today that you will ask the Holy Spirit to regenerate you, teach you his word, and lead you to him if he hasn’t already<br>Titus 3:5 Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost<br>Matthew 19:28 And Jesus said unto them, Verily I say unto you, That ye which have followed me, in the regeneration when the Son of man shall sit in the throne of his glory, ye also shall sit upon twelve thrones, judging the twelve tribes of Israel. And every one that hath forsaken houses, or brethren, or sisters, or father, or mother, or wife, or children, or lands, for my name&#39;s sake, shall receive an hundredfold, and shall inherit everlasting life. But many that are first shall be last; and the last shall be first.<br>If you continue in my word you are my disciple indeed<br>Give thanks in everything for this is the will of God concerning you<br>I will bless the Lord at all times his praise shall continually be in my mouth<br>Praying always with all prayer and supplication in the Spirit, and watching thereunto with all perseverance and supplication for all saints"
@t-nutz3370,2024-05-27T16:41:21Z,2024-05-27T16:41:21Z,0,Speak up lady!
@avxd7,2024-05-27T16:40:26Z,2024-05-27T16:40:26Z,0,average fox news intelligence with the placement of the reporter
@HighlandHomesteadGoGoMomma,2024-05-27T16:39:38Z,2024-05-27T16:39:38Z,0,So awsome 😍. President for the people 👏
@RedStatesPovertyWatch,2024-05-27T16:38:06Z,2024-05-27T17:04:43Z,0,It was the greatest event of cars with corporate branding going in circles! The most patriotic event in world history!
@christineexum,2024-05-27T16:37:13Z,2024-05-27T16:37:13Z,0,ALLLL LIES ON THAT BILL BOARD💯💯😠😠😠😠😠😠 THE DEMOCRATS WILL SAY TRUMP BUSSED AVERY ONE IN TO NAS CAR!😂😂😂😂😂😂🤣🤣🤣🤣
@ImWilson1,2024-05-27T16:33:53Z,2024-05-27T16:33:53Z,0,LOL They cut the sound and added cheering as the plane flew over. The band MatchBox20 was playing and the announcer said give it up for MatchBox20. Fox why lie?
@tra19999,2024-05-27T16:33:34Z,2024-05-27T16:33:34Z,0,Did that silly blonde actually say that the Libertarians love Trump too? She did NOT just say that!
@ImWilson1,2024-05-27T16:30:36Z,2024-05-27T16:30:36Z,0,I wonder does Trump salute Amazing Grace when it is sung at church? What a moron. Walking around saluting isn&#39;t patriotic it is delusional. He saluted a garbage can for God&#39;s sake. And Childress placing his hand over his heart looked so uncomfortable. I bet he is sorry he invited this clown.
@no1superwoman,2024-05-27T16:29:26Z,2024-05-27T16:29:26Z,1,"My president ,yes I am voting for Trump in 2024!"
@Doctorbig,2024-05-27T16:25:52Z,2024-05-27T16:25:52Z,0,President Trumps favorite drink is diet Coke!
@dokezmon,2024-05-27T16:23:41Z,2024-05-27T16:23:41Z,0,gold star family??? you mean losers according to DJT? why would they take a picture with him when he called them a bunch of losers
@davidl2469,2024-05-27T16:21:50Z,2024-05-27T16:21:50Z,1,Trump all the way
@christineb.4810,2024-05-27T16:21:19Z,2024-05-27T16:21:19Z,0,👏🏻👏🏻👏🏻❤️🤍💙🇺🇸🇺🇸🇺🇸
@markvetter4711,2024-05-27T16:19:45Z,2024-05-27T16:19:45Z,0,"Cheering for Matchbox 20, when the plane flew over. And for the race the rest of the time. Most people didn’t even know he was there. The salute for Amazing Grace was pathetic. The Fox manure spreader did a nice job editing it to fit the Trump campaigns narrative."
@carlnoe2,2024-05-27T16:18:48Z,2024-05-27T16:18:48Z,0,"That was a yawn, not a roar"
@user-zh8il6zh6o,2024-05-27T16:17:06Z,2024-05-27T16:17:06Z,1,"DNCs lies are Not being believed anymore, I will never vote for a Democrat again,,Everrrrrr😊"
@rexxorrwill8688,2024-05-27T16:15:09Z,2024-05-27T16:15:09Z,0,That reporting audio from a live racetrack was horrid.
@rickevenson8191,2024-05-27T16:14:23Z,2024-05-27T16:14:23Z,0,Ya the truth hurts!!
@michaeloflaherty7189,2024-05-27T16:12:46Z,2024-05-27T16:12:46Z,0,ROFL! He was loved at the Libertarian convention?! Go WATCH THE VIDEOS OF HIM MERCILESSLY BOOED OF THE STAGE!  <br><br>Now you know how much you can trust focx - ZERO!<br><br>Be clear - you destroyed a great party - gop! You won’t ever be forgiven for your trash show and part in sparking Jan 6th!
@davidkatz1829,2024-05-27T16:12:14Z,2024-05-27T16:12:14Z,0,More false propaganda being spewed on Faux. The crowd is cheering for Match Box 20.<br>Listen to the announcement
@michaeloflaherty7189,2024-05-27T16:09:52Z,2024-05-27T16:09:52Z,0,Ask yourselves- why hasn’t fox ever held a debate?
@michaeloflaherty7189,2024-05-27T16:09:21Z,2024-05-27T16:09:21Z,0,"BE BERY CLEAR - TRUMP WILL NOT SHOW UP TO ANY DEBATE!  Scream, yell, blah blah - TRUMP WILL NOT SHOW UP TO ANY DEBATE!"
@michaeloflaherty7189,2024-05-27T16:07:45Z,2024-05-27T16:07:45Z,0,That sign wasn’t out there by democrats!  If you were real reporters - you would know it was those republicans burned by the liar.
@SC-hk9so,2024-05-27T16:07:42Z,2024-05-27T16:07:42Z,0,"Big News, on vacation again Joe Biden was buried at the beach because he was mistaken for a corpse."
@michaeloflaherty7189,2024-05-27T16:06:21Z,2024-05-27T16:06:21Z,0,WHAT IDIOT SALUTES AMAZING GRACE?!<br><br>Regardless what side you are on - you 100% support our democracy!! You do NOT FEED LIES AND INCITE RIOTS! <br><br>Everyone at fox sold their souls for money.
